Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
1	Accounts	Chart of Codes	Accounts 	Code Wise 				GL Master	Report ? Accounts ? Accounts Report ? Chart of Code	"Group, Sub Group (Head with Colur Coding) wrt. Releated  Report FI & CO - TB, GEN, Ledger, )"	Done
2	Accounts	Chart of Codes	Accounts 	Description Wise 				GL Master	Report ? Accounts ? Accounts Report ? Description Wise 	"Group, Sub Group (Head with Colur Coding) wrt. Releated  Report FI & CO - TB, GEN, Ledger, )"	Done
3	Accounts	Chart of Codes	Sub Account	Code Wise 				Sub Accounts	Report ? Accounts ? Accounts Report ? Chart of Code 	"Group, Sub Group (Head with Colur Coding) wrt. Releated  Report FI & CO - TB, GEN, Ledger, )"	Done
4	Accounts	Chart of Codes	Sub Account	Description Wise 				Sub Accounts	Report ? Accounts ? Accounts Report ? Description Wise 	"Group, Sub Group (Head with Colur Coding) wrt. Releated  Report FI & CO - TB, GEN, Ledger, )"	Done
5	Accounts	Chart of Codes	Party	Code Wise  & Description Wise 	Debtor			Debitor List	Report ? Accounts ? Accounts Report ? Code /Description Wise  ?Debtor		Done
6	Accounts	Chart of Codes	Party	Code Wise  & Description Wise 	Creditor			Creditor List	Report ? Accounts ? Accounts Report ? Code /Description Wise  ?Creditor		Done
7	Accounts	Chart of Codes	Party	Code Wise  & Description Wise 	Party			Party List	Report ? Accounts ? Accounts Report ? Code /Description Wise  ?Party		Preview Not Open
8	Accounts	Chart of Codes	Party	Code Wise  & Description Wise 	Employees 			Employees List	Report ? Accounts ? Accounts Report ? Code /Description Wise  ?Employees 		Done
9	Accounts	Chart of Codes	Party	Code Wise  & Description Wise 	Non-Accounting			Non Accounting Party	Report ? Accounts ? Accounts Report ? Code /Description Wise  ?Non-Accounting		Done
10	Accounts	Chart of Codes	Group Accounts					TB & Party Group	Report ? Accounts ? Accounts Report ? Code /Description Wise  ? Group Accounts 		Done
11	Accounts	Chart of Codes	Item	"Code Wise,Description Wise & Class Wise "					Report ? Accounts ? Accounts Report ? Code /Description Wise/ Class Wise		Done
12	Accounts	Accounts Ledger	General Ledger						Report ? Accounts ? Accounts Report ? Accounts Ledger ? General Ledger		Rmaining
13	Accounts	Accounts Ledger	Sub-Account Ledger						Report ? Accounts ? Accounts Report ? Accounts Ledger ?Sub-Account Ledger		
14	Accounts	Accounts Ledger	Party Ledger						Report ? Accounts ? Accounts Report ? Accounts Ledger ?Party Ledger		
15	Accounts	Accounts Ledger	Employee Ledger						Report ? Accounts ? Accounts Report ? Accounts Ledger ?Employee Ledger		
16	Accounts	Accounts Ledger	CPC Wise General Ledger						Report ? Accounts ? Accounts Report ? Accounts Ledger ?CPC Wise General Ledger		
